Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Units_Sold_new
Amazon,1185732,02/12/2021,Northeast,Vermont,Burlington,Women's Athletic Footwear,$30.00 ,48,144,$55 ,Outlet,48
Foot Locker,1185732,06/04/2021,Midwest,Illinois,Chicago,Men's Apparel,$53.00 ,47,249,$122 ,Online,47
Foot Locker,1185732,07/03/2021,Midwest,Illinois,Chicago,Women's Athletic Footwear,$38.00 ,47,179,$95 ,Online,47
Foot Locker,1185732,12/31/2021,Northeast,Pennsylvania,Philadelphia,Men's Apparel,$63.00 ,47,296,$136 ,Online,47
West Gear,1128299,1/18/2020,West,Nevada,Las Vegas,Men's Apparel,$55.00 ,47,259,$181 ,Online,47
Foot Locker,1185732,11/03/2020,Midwest,Minnesota,Minneapolis,Women's Apparel,$38.00 ,47,179,$98 ,Online,47
Foot Locker,1185732,11/18/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,$33.00 ,47,155,$70 ,Online,47
Foot Locker,1185732,12/01/2020,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,$33.00 ,47,155,$76 ,Online,47
Foot Locker,1185732,5/29/2021,Midwest,Nebraska,Omaha,Women's Street Footwear,$23.00 ,47,108,$54 ,Online,47
Amazon,1185732,11/07/2021,Northeast,Maine,Portland,Women's Street Footwear,$42.00 ,47,197,$107 ,Online,47
Amazon,1185732,10/22/2021,Southeast,Kentucky,Louisville,Women's Street Footwear,$43.00 ,47,202,$109 ,Online,47
Kohl's,1197831,10/14/2021,Midwest,Kansas,Wichita,Women's Athletic Footwear,$19.00 ,47,89,$43 ,Online,47
Foot Locker,1185732,02/12/2021,Midwest,Kansas,Wichita,Men's Athletic Footwear,$39.00 ,47,183,$81 ,Online,47
Sports Direct,1185732,06/09/2021,Midwest,North Dakota,Fargo,Men's Apparel,$38.00 ,47,179,$82 ,Online,47
Foot Locker,1185732,11/09/2021,Midwest,North Dakota,Fargo,Women's Athletic Footwear,$39.00 ,47,183,$79 ,Online,47
Foot Locker,1185732,03/05/2021,Midwest,Iowa,Des Moines,Men's Athletic Footwear,$19.00 ,47,89,$40 ,Online,47
Foot Locker,1185732,07/05/2021,Midwest,Iowa,Des Moines,Women's Athletic Footwear,$37.00 ,47,174,$71 ,Online,47
West Gear,1185732,06/03/2021,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,$24.00 ,47,113,$46 ,Online,47
West Gear,1185732,4/17/2021,Northeast,West Virginia,Charleston,Women's Athletic Footwear,$25.00 ,47,118,$61 ,Online,47
West Gear,1185732,10/17/2021,Northeast,West Virginia,Charleston,Women's Athletic Footwear,$32.00 ,47,150,$80 ,Online,47
West Gear,1185732,5/20/2021,Northeast,Maryland,Baltimore,Men's Athletic Footwear,$42.00 ,47,197,$91 ,Online,47
Foot Locker,1185732,6/22/2021,Northeast,Maryland,Baltimore,Women's Street Footwear,$37.00 ,47,174,$87 ,Online,47
Foot Locker,1185732,1/17/2021,Northeast,Maryland,Baltimore,Women's Athletic Footwear,$32.00 ,47,150,$83 ,Online,47
Kohl's,1185732,01/10/2021,Northeast,Delaware,Wilmington,Men's Apparel,$41.00 ,47,193,$77 ,Online,47
Kohl's,1185732,02/08/2021,Northeast,New Jersey,Newark,Men's Apparel,$41.00 ,47,193,$77 ,Online,47
Sports Direct,1185732,3/13/2021,Northeast,Massachusetts,Boston,Men's Athletic Footwear,$38.00 ,47,179,$80 ,Online,47
Sports Direct,1185732,5/13/2021,Northeast,Massachusetts,Boston,Women's Athletic Footwear,$44.00 ,47,207,$81 ,Online,47
Amazon,1185732,03/10/2021,Northeast,Vermont,Burlington,Men's Apparel,$51.00 ,47,240,$117 ,Online,47
Foot Locker,1185732,10/19/2021,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,$62.00 ,47,291,$125 ,Online,47
Foot Locker,1128299,4/23/2021,West,Arizona,Phoenix,Men's Apparel,$43.00 ,47,202,$69 ,Outlet,47
West Gear,1197831,4/20/2021,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,$15.00 ,47,71,$30 ,Outlet,47
Foot Locker,1185732,08/07/2021,Northeast,Rhode Island,Providence,Women's Athletic Footwear,$29.00 ,47,136,$59 ,Outlet,47
Sports Direct,1185732,1/17/2021,Northeast,Rhode Island,Providence,Men's Apparel,$39.00 ,47,183,$59 ,Outlet,47
Sports Direct,1185732,9/13/2021,Northeast,Massachusetts,Boston,Women's Street Footwear,$30.00 ,47,141,$42 ,Outlet,47
Foot Locker,1185732,10/30/2021,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,$34.00 ,46,156,$81 ,Online,46
Foot Locker,1185732,12/07/2021,Northeast,Pennsylvania,Philadelphia,Men's Apparel,$61.00 ,46,281,$129 ,Online,46
West Gear,1128299,06/11/2020,West,Washington,Seattle,Men's Apparel,$69.00 ,46,317,$121 ,Online,46
Foot Locker,1185732,6/22/2021,Midwest,Nebraska,Omaha,Women's Street Footwear,$27.00 ,46,124,$56 ,Online,46
Foot Locker,1185732,6/29/2021,Midwest,Nebraska,Omaha,Women's Athletic Footwear,$33.00 ,46,152,$79 ,Online,46
Amazon,1185732,10/25/2021,Northeast,Maine,Portland,Men's Athletic Footwear,$39.00 ,46,179,$88 ,Online,46
Amazon,1185732,11/18/2021,Northeast,Maine,Portland,Women's Athletic Footwear,$54.00 ,46,248,$107 ,Online,46
Amazon,1185732,2/22/2021,West,Alaska,Anchorage,Women's Athletic Footwear,$49.00 ,46,225,$88 ,Online,46
Amazon,1185732,10/22/2021,West,Alaska,Anchorage,Women's Street Footwear,$59.00 ,46,271,$109 ,Online,46
Foot Locker,1128299,01/10/2021,West,Alaska,Anchorage,Men's Apparel,$46.00 ,46,212,$63 ,Online,46
Foot Locker,1128299,05/11/2021,West,Hawaii,Honolulu,Men's Apparel,$55.00 ,46,253,$71 ,Online,46
Kohl's,1197831,10/14/2021,Midwest,Kansas,Wichita,Men's Apparel,$29.00 ,46,133,$65 ,Online,46
Foot Locker,1185732,02/12/2021,Midwest,South Dakota,Sioux Falls,Men's Apparel,$48.00 ,46,221,$99 ,Online,46
Foot Locker,1185732,5/13/2021,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,$43.00 ,46,198,$83 ,Online,46
Foot Locker,1185732,08/12/2021,Midwest,South Dakota,Sioux Falls,Men's Apparel,$47.00 ,46,216,$99 ,Online,46
West Gear,1185732,06/03/2021,Midwest,Wisconsin,Milwaukee,Men's Apparel,$34.00 ,46,156,$94 ,Online,46
West Gear,1185732,08/03/2021,Midwest,Wisconsin,Milwaukee,Men's Apparel,$48.00 ,46,221,$144 ,Online,46
West Gear,1185732,06/10/2021,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,$29.00 ,46,133,$63 ,Online,46
West Gear,1185732,2/22/2021,Northeast,West Virginia,Charleston,Women's Street Footwear,$24.00 ,46,110,$52 ,Online,46
Kohl's,1185732,08/07/2021,Northeast,New Jersey,Newark,Men's Apparel,$46.00 ,46,212,$91 ,Online,46
Sports Direct,1185732,09/03/2021,Northeast,Connecticut,Hartford,Women's Athletic Footwear,$41.00 ,46,189,$85 ,Online,46
Foot Locker,1185732,05/06/2021,Northeast,Rhode Island,Providence,Men's Apparel,$49.00 ,46,225,$90 ,Online,46
Amazon,1185732,10/12/2021,Northeast,Vermont,Burlington,Women's Athletic Footwear,$55.00 ,46,253,$121 ,Online,46
Amazon,1185732,1/21/2021,Northeast,Vermont,Burlington,Women's Athletic Footwear,$43.00 ,46,198,$79 ,Online,46
Foot Locker,1185732,10/19/2021,Northeast,New Hampshire,Manchester,Men's Apparel,$71.00 ,46,327,$140 ,Online,46
Foot Locker,1185732,11/10/2021,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,$45.00 ,45,203,$85 ,Online,45
Foot Locker,1185732,11/25/2021,Northeast,Pennsylvania,Philadelphia,Men's Apparel,$60.00 ,45,270,$124 ,Online,45
Foot Locker,1185732,11/19/2020,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,$32.00 ,45,144,$68 ,Online,45
Foot Locker,1185732,11/20/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,$49.00 ,45,221,$93 ,Online,45
Foot Locker,1185732,12/19/2020,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,$38.00 ,45,171,$84 ,Online,45
Foot Locker,1185732,6/21/2021,Midwest,Nebraska,Omaha,Men's Athletic Footwear,$32.00 ,45,144,$72 ,Online,45
Amazon,1185732,10/19/2021,Northeast,Maine,Portland,Men's Athletic Footwear,$38.00 ,45,171,$80 ,Online,45
Amazon,1185732,10/22/2021,Northeast,Maine,Portland,Men's Apparel,$46.00 ,45,207,$81 ,Online,45
Foot Locker,1128299,1/24/2021,West,Wyoming,Cheyenne,Men's Apparel,$42.00 ,45,189,$96 ,Online,45
West Gear,1197831,4/20/2021,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,$18.00 ,45,81,$43 ,Online,45
Foot Locker,1185732,04/12/2021,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,$29.00 ,45,131,$52 ,Online,45
Sports Direct,1185732,11/12/2021,Midwest,South Dakota,Sioux Falls,Men's Apparel,$59.00 ,45,266,$122 ,Online,45
Foot Locker,1185732,02/06/2021,Midwest,North Dakota,Fargo,Men's Athletic Footwear,$28.00 ,45,126,$58 ,Online,45
Foot Locker,1185732,09/07/2021,Midwest,Iowa,Des Moines,Men's Apparel,$34.00 ,45,153,$93 ,Online,45
West Gear,1185732,01/03/2021,Midwest,Iowa,Des Moines,Men's Apparel,$38.00 ,45,171,$106 ,Online,45
West Gear,1185732,04/10/2021,Midwest,Indiana,Indianapolis,Men's Apparel,$61.00 ,45,275,$121 ,Online,45
West Gear,1185732,1/17/2021,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,$29.00 ,45,131,$70 ,Online,45
Sports Direct,1185732,7/20/2021,Northeast,Maryland,Baltimore,Women's Athletic Footwear,$36.00 ,45,162,$76 ,Online,45
Foot Locker,1185732,2/15/2021,Northeast,Delaware,Wilmington,Women's Athletic Footwear,$33.00 ,45,149,$82 ,Online,45
Foot Locker,1185732,4/14/2021,Northeast,Delaware,Wilmington,Men's Apparel,$47.00 ,45,212,$95 ,Online,45
Sports Direct,1185732,4/14/2021,Northeast,Massachusetts,Boston,Men's Athletic Footwear,$37.00 ,45,167,$73 ,Online,45
Amazon,1185732,02/12/2021,Northeast,Vermont,Burlington,Women's Athletic Footwear,$36.00 ,45,162,$75 ,Online,45
Sports Direct,1128299,03/12/2021,Southeast,Georgia,Atlanta,Men's Apparel,$41.00 ,45,185,$76 ,Outlet,45
Sports Direct,1185732,10/05/2021,Northeast,Connecticut,Hartford,Women's Athletic Footwear,$43.00 ,45,194,$70 ,Outlet,45
Sports Direct,1185732,10/05/2021,Northeast,Connecticut,Hartford,Men's Apparel,$50.00 ,45,225,$74 ,Outlet,45
Foot Locker,1185732,03/06/2021,Northeast,Rhode Island,Providence,Men's Athletic Footwear,$27.00 ,45,122,$47 ,Outlet,45
Amazon,1185732,3/17/2021,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,$33.00 ,45,149,$55 ,Outlet,45
Foot Locker,1185732,06/10/2021,Midwest,Illinois,Chicago,Men's Apparel,$50.00 ,44,220,$103 ,Online,44
Foot Locker,1185732,6/19/2021,Midwest,Illinois,Chicago,Men's Athletic Footwear,$48.00 ,44,211,$97 ,Online,44
Foot Locker,1185732,6/26/2021,Midwest,Illinois,Chicago,Women's Street Footwear,$49.00 ,44,216,$99 ,Online,44
Foot Locker,1185732,7/21/2021,Midwest,Illinois,Chicago,Women's Athletic Footwear,$36.00 ,44,158,$84 ,Online,44
Foot Locker,1185732,11/08/2021,Northeast,Pennsylvania,Philadelphia,Women's Apparel,$47.00 ,44,207,$72 ,Online,44
Foot Locker,1185732,11/23/2021,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,$52.00 ,44,229,$114 ,Online,44
Foot Locker,1185732,11/30/2021,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,$51.00 ,44,224,$119 ,Online,44
Foot Locker,1185732,12/24/2021,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,$56.00 ,44,246,$126 ,Online,44
West Gear,1128299,04/06/2020,West,Colorado,Denver,Men's Apparel,$62.00 ,44,273,$166 ,Online,44
West Gear,1128299,04/12/2020,West,Colorado,Denver,Men's Apparel,$63.00 ,44,277,$211 ,Online,44
Foot Locker,1185732,10/27/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,$41.00 ,44,180,$74 ,Online,44
Foot Locker,1185732,11/11/2020,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,$44.00 ,44,194,$79 ,Online,44
Foot Locker,1185732,12/26/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,$54.00 ,44,238,$97 ,Online,44
Foot Locker,1185732,6/30/2021,Midwest,Nebraska,Omaha,Men's Apparel,$41.00 ,44,180,$88 ,Online,44
Amazon,1185732,10/31/2021,Northeast,Maine,Portland,Men's Athletic Footwear,$37.00 ,44,163,$77 ,Online,44
Amazon,1185732,11/01/2021,Northeast,Maine,Portland,Women's Street Footwear,$27.00 ,44,119,$64 ,Online,44
Amazon,1185732,11/20/2021,Northeast,Maine,Portland,Women's Athletic Footwear,$43.00 ,44,189,$78 ,Online,44
Amazon,1185732,4/21/2021,West,Alaska,Anchorage,Women's Athletic Footwear,$47.00 ,44,207,$77 ,Online,44
Amazon,1185732,10/22/2021,West,Alaska,Anchorage,Men's Apparel,$71.00 ,44,312,$109 ,Online,44
Sports Direct,1128299,3/16/2021,Southeast,Florida,Orlando,Men's Apparel,$61.00 ,44,268,$89 ,Online,44
West Gear,1128299,1/24/2021,West,Utah,Salt Lake City,Men's Apparel,$42.00 ,44,185,$102 ,Online,44
West Gear,1128299,5/25/2021,West,Oregon,Portland,Men's Apparel,$41.00 ,44,180,$99 ,Online,44
Foot Locker,1128299,2/23/2021,West,Arizona,Phoenix,Men's Apparel,$42.00 ,44,185,$81 ,Online,44
Amazon,1185732,3/21/2021,Southeast,Kentucky,Louisville,Men's Apparel,$52.00 ,44,229,$105 ,Online,44
Foot Locker,1185732,01/12/2021,Midwest,Kansas,Wichita,Men's Apparel,$48.00 ,44,211,$99 ,Online,44
Foot Locker,1185732,07/11/2021,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,$38.00 ,44,167,$72 ,Online,44
Sports Direct,1185732,11/12/2021,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,$43.00 ,44,189,$83 ,Online,44
Sports Direct,1185732,04/09/2021,Midwest,North Dakota,Fargo,Men's Athletic Footwear,$28.00 ,44,123,$53 ,Online,44
Sports Direct,1185732,08/09/2021,Midwest,North Dakota,Fargo,Men's Apparel,$46.00 ,44,202,$93 ,Online,44
Sports Direct,1185732,09/10/2021,Midwest,North Dakota,Fargo,Women's Athletic Footwear,$28.00 ,44,123,$51 ,Online,44
Foot Locker,1185732,11/09/2021,Midwest,North Dakota,Fargo,Men's Apparel,$55.00 ,44,242,$109 ,Online,44
Foot Locker,1185732,06/06/2021,Midwest,Iowa,Des Moines,Women's Athletic Footwear,$24.00 ,44,106,$46 ,Online,44
Foot Locker,1185732,06/06/2021,Midwest,Iowa,Des Moines,Men's Apparel,$34.00 ,44,150,$96 ,Online,44
West Gear,1185732,03/02/2021,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,$19.00 ,44,84,$42 ,Online,44
West Gear,1185732,09/04/2021,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,$24.00 ,44,106,$48 ,Online,44
West Gear,1185732,01/10/2021,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,$28.00 ,44,123,$59 ,Online,44
West Gear,1185732,03/09/2021,Midwest,Indiana,Indianapolis,Men's Apparel,$32.00 ,44,141,$61 ,Online,44
West Gear,1185732,10/10/2021,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,$33.00 ,44,145,$67 ,Online,44
West Gear,1185732,10/17/2021,Northeast,West Virginia,Charleston,Women's Street Footwear,$33.00 ,44,145,$77 ,Online,44
Foot Locker,1185732,6/22/2021,Northeast,Maryland,Baltimore,Women's Athletic Footwear,$37.00 ,44,163,$81 ,Online,44
Sports Direct,1185732,8/21/2021,Northeast,Maryland,Baltimore,Women's Athletic Footwear,$37.00 ,44,163,$75 ,Online,44
Foot Locker,1185732,12/20/2021,Northeast,Maryland,Baltimore,Women's Athletic Footwear,$49.00 ,44,216,$101 ,Online,44
Foot Locker,1185732,4/14/2021,Northeast,Delaware,Wilmington,Women's Athletic Footwear,$32.00 ,44,141,$72 ,Online,44
Foot Locker,1185732,10/15/2021,Northeast,Delaware,Wilmington,Women's Athletic Footwear,$52.00 ,44,229,$114 ,Online,44
Foot Locker,1185732,03/06/2021,Northeast,Rhode Island,Providence,Men's Athletic Footwear,$34.00 ,44,150,$67 ,Online,44
Foot Locker,1185732,05/06/2021,Northeast,Rhode Island,Providence,Women's Athletic Footwear,$39.00 ,44,172,$89 ,Online,44
Sports Direct,1185732,11/07/2021,Northeast,Rhode Island,Providence,Men's Apparel,$58.00 ,44,255,$112 ,Online,44
Sports Direct,1185732,8/14/2021,Northeast,Massachusetts,Boston,Men's Apparel,$50.00 ,44,220,$81 ,Online,44
Amazon,1185732,1/14/2021,Northeast,Massachusetts,Boston,Women's Athletic Footwear,$39.00 ,44,172,$84 ,Online,44
Amazon,1185732,04/11/2021,Northeast,Vermont,Burlington,Women's Athletic Footwear,$36.00 ,44,158,$79 ,Online,44
Foot Locker,1185732,10/29/2021,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,$32.00 ,44,141,$56 ,Outlet,44
Foot Locker,1185732,01/10/2021,Northeast,Connecticut,Hartford,Men's Apparel,$34.00 ,44,150,$54 ,Outlet,44
Foot Locker,1185732,04/07/2021,Northeast,Rhode Island,Providence,Women's Street Footwear,$16.00 ,44,70,$30 ,Outlet,44
Sports Direct,1185732,4/14/2021,Northeast,Massachusetts,Boston,Men's Apparel,$33.00 ,44,145,$39 ,Outlet,44
West Gear,1128299,2/24/2021,West,Oregon,Portland,Men's Apparel,$32.00 ,43,138,$61 ,Outlet,43
Foot Locker,1185732,6/20/2021,Midwest,Illinois,Chicago,Women's Street Footwear,$36.00 ,42,151,$73 ,Online,42
Foot Locker,1185732,11/17/2021,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,$52.00 ,42,218,$100 ,Online,42
Foot Locker,1185732,12/25/2021,Northeast,Pennsylvania,Philadelphia,Men's Apparel,$64.00 ,42,269,$129 ,Online,42
Foot Locker,1185732,12/02/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,$42.00 ,42,176,$72 ,Online,42
Foot Locker,1185732,6/24/2021,Midwest,Nebraska,Omaha,Men's Apparel,$42.00 ,42,176,$88 ,Online,42
Amazon,1185732,10/16/2021,Northeast,Maine,Portland,Men's Apparel,$47.00 ,42,197,$77 ,Online,42
Amazon,1185732,11/09/2021,Northeast,Maine,Portland,Men's Apparel,$51.00 ,42,214,$79 ,Online,42
Amazon,1185732,10/22/2021,West,Alaska,Anchorage,Women's Athletic Footwear,$59.00 ,42,248,$89 ,Online,42
Foot Locker,1128299,04/10/2021,West,Hawaii,Honolulu,Men's Apparel,$52.00 ,42,218,$59 ,Online,42
Amazon,1185732,1/22/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,$34.00 ,42,143,$71 ,Online,42
Amazon,1185732,5/23/2021,Southeast,Kentucky,Louisville,Men's Apparel,$46.00 ,42,193,$89 ,Online,42
Amazon,1185732,10/22/2021,Southeast,Kentucky,Louisville,Women's Athletic Footwear,$41.00 ,42,172,$90 ,Online,42
Kohl's,1197831,2/14/2021,Midwest,Kansas,Wichita,Women's Athletic Footwear,$20.00 ,42,84,$38 ,Online,42
Foot Locker,1185732,04/12/2021,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,$39.00 ,42,164,$67 ,Online,42
Foot Locker,1185732,9/13/2021,Midwest,South Dakota,Sioux Falls,Men's Apparel,$41.00 ,42,172,$86 ,Online,42
Foot Locker,1185732,10/12/2021,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,$43.00 ,42,181,$72 ,Online,42
Sports Direct,1185732,09/10/2021,Midwest,North Dakota,Fargo,Men's Apparel,$36.00 ,42,151,$74 ,Online,42
Foot Locker,1185732,01/06/2021,Midwest,North Dakota,Fargo,Men's Apparel,$38.00 ,42,160,$101 ,Online,42
Foot Locker,1185732,05/07/2021,Midwest,Iowa,Des Moines,Men's Apparel,$43.00 ,42,181,$117 ,Online,42
West Gear,1185732,09/11/2021,Midwest,Indiana,Indianapolis,Men's Apparel,$33.00 ,42,139,$55 ,Online,42
Foot Locker,1185732,6/22/2021,Northeast,Maryland,Baltimore,Men's Apparel,$49.00 ,42,206,$91 ,Online,42
Kohl's,1185732,10/08/2021,Northeast,New Jersey,Newark,Women's Street Footwear,$46.00 ,42,193,$97 ,Online,42
Sports Direct,1185732,01/07/2021,Northeast,New Jersey,Newark,Women's Athletic Footwear,$33.00 ,42,139,$61 ,Online,42
Sports Direct,1185732,10/05/2021,Northeast,Connecticut,Hartford,Men's Apparel,$64.00 ,42,269,$113 ,Online,42
Foot Locker,1185732,08/03/2021,Midwest,Illinois,Chicago,Men's Apparel,$56.00 ,41,230,$115 ,Online,41
Foot Locker,1185732,12/06/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,$24.00 ,41,98,$39 ,Online,41
Foot Locker,1185732,6/19/2021,Midwest,Nebraska,Omaha,Women's Apparel,$51.00 ,41,209,$130 ,Online,41
Foot Locker,1185732,7/15/2021,Midwest,Nebraska,Omaha,Men's Athletic Footwear,$29.00 ,41,119,$55 ,Online,41
Foot Locker,1185732,7/21/2021,Midwest,Nebraska,Omaha,Men's Athletic Footwear,$29.00 ,41,119,$55 ,Online,41
Amazon,1185732,12/25/2021,Northeast,Maine,Portland,Men's Apparel,$54.00 ,41,221,$82 ,Online,41
Amazon,1185732,11/18/2021,Northeast,Maine,Portland,Men's Apparel,$60.00 ,41,246,$89 ,Online,41
Amazon,1185732,4/21/2021,West,Alaska,Anchorage,Men's Apparel,$56.00 ,41,230,$85 ,Online,41
Amazon,1185732,10/22/2021,Southeast,Kentucky,Louisville,Men's Apparel,$53.00 ,41,217,$106 ,Online,41
Kohl's,1197831,03/12/2021,Midwest,Kansas,Wichita,Men's Apparel,$32.00 ,41,131,$60 ,Online,41
Sports Direct,1185732,04/09/2021,Midwest,North Dakota,Fargo,Women's Street Footwear,$19.00 ,41,78,$33 ,Online,41
West Gear,1185732,04/03/2021,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,$9.00 ,41,37,$16 ,Online,41
West Gear,1185732,09/11/2021,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,$24.00 ,41,98,$46 ,Online,41
Foot Locker,1185732,11/21/2021,Northeast,Maryland,Baltimore,Women's Athletic Footwear,$48.00 ,41,197,$91 ,Online,41
Kohl's,1185732,09/06/2021,Northeast,New Jersey,Newark,Men's Apparel,$47.00 ,41,193,$79 ,Online,41
Sports Direct,1185732,1/17/2021,Northeast,Rhode Island,Providence,Men's Apparel,$48.00 ,41,197,$77 ,Online,41
Sports Direct,1185732,2/15/2021,Northeast,Rhode Island,Providence,Men's Athletic Footwear,$38.00 ,41,156,$65 ,Online,41
Sports Direct,1185732,2/15/2021,Northeast,Massachusetts,Boston,Men's Apparel,$48.00 ,41,197,$75 ,Online,41
Sports Direct,1185732,4/14/2021,Northeast,Massachusetts,Boston,Women's Street Footwear,$29.00 ,41,119,$42 ,Online,41
Foot Locker,1185732,06/03/2021,West,California,Los Angeles,Women's Athletic Footwear,$27.00 ,41,111,$51 ,Outlet,41
Foot Locker,1185732,10/26/2021,Northeast,Pennsylvania,Philadelphia,Men's Apparel,$42.00 ,41,172,$71 ,Outlet,41
Foot Locker,1185732,12/13/2021,Northeast,Pennsylvania,Philadelphia,Men's Apparel,$36.00 ,41,148,$50 ,Outlet,41
Sports Direct,1185732,04/04/2021,Northeast,Connecticut,Hartford,Women's Athletic Footwear,$26.00 ,41,107,$34 ,Outlet,41
Foot Locker,1185732,02/08/2021,Northeast,Connecticut,Hartford,Men's Athletic Footwear,$24.00 ,41,98,$38 ,Outlet,41
Sports Direct,1185732,9/13/2021,Northeast,Massachusetts,Boston,Men's Apparel,$39.00 ,41,160,$50 ,Outlet,41
Foot Locker,1185732,11/01/2021,Northeast,Pennsylvania,Philadelphia,Men's Apparel,$39.00 ,40,156,$58 ,Outlet,40
Foot Locker,1128299,4/24/2021,Southeast,Virginia,Richmond,Men's Apparel,$40.00 ,40,160,$67 ,Outlet,40
Sports Direct,1185732,04/04/2021,Northeast,Connecticut,Hartford,Men's Apparel,$37.00 ,40,148,$50 ,Outlet,40
Foot Locker,1185732,02/08/2021,Northeast,Rhode Island,Providence,Men's Apparel,$34.00 ,40,136,$49 ,Outlet,40
Foot Locker,1185732,04/07/2021,Northeast,Rhode Island,Providence,Men's Athletic Footwear,$23.00 ,40,92,$37 ,Outlet,40
Foot Locker,1185732,08/07/2021,Northeast,Rhode Island,Providence,Men's Apparel,$37.00 ,40,148,$53 ,Outlet,40
Foot Locker,1185732,7/26/2021,Midwest,Illinois,Chicago,Women's Street Footwear,$48.00 ,39,187,$84 ,Online,39
Foot Locker,1185732,11/24/2021,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,$52.00 ,39,203,$107 ,Online,39
West Gear,1128299,3/31/2020,West,Colorado,Denver,Men's Apparel,$56.00 ,39,218,$131 ,Online,39
Foot Locker,1185732,10/21/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,$43.00 ,39,168,$75 ,Online,39
Foot Locker,1185732,06/04/2021,Midwest,Nebraska,Omaha,Women's Street Footwear,$29.00 ,39,113,$57 ,Online,39
Foot Locker,1185732,6/13/2021,Midwest,Nebraska,Omaha,Women's Apparel,$34.00 ,39,133,$82 ,Online,39
Foot Locker,1185732,6/23/2021,Midwest,Nebraska,Omaha,Women's Athletic Footwear,$27.00 ,39,105,$57 ,Online,39
Foot Locker,1185732,7/13/2021,Midwest,Nebraska,Omaha,Women's Apparel,$34.00 ,39,133,$82 ,Online,39
Foot Locker,1185732,7/30/2021,Midwest,Nebraska,Omaha,Men's Apparel,$45.00 ,39,176,$84 ,Online,39
West Gear,1128299,3/16/2021,South,Louisiana,New Orleans,Men's Apparel,$56.00 ,39,218,$131 ,Online,39
Foot Locker,1128299,4/23/2021,West,Arizona,Phoenix,Men's Apparel,$50.00 ,39,195,$82 ,Online,39
Sports Direct,1128299,03/12/2021,Southeast,Georgia,Atlanta,Men's Apparel,$51.00 ,39,199,$93 ,Online,39
Foot Locker,1185732,9/13/2021,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,$34.00 ,39,133,$53 ,Online,39
Sports Direct,1185732,10/09/2021,Midwest,North Dakota,Fargo,Women's Street Footwear,$39.00 ,39,152,$67 ,Online,39
Foot Locker,1185732,03/05/2021,Midwest,Iowa,Des Moines,Men's Apparel,$28.00 ,39,109,$70 ,Online,39
Foot Locker,1185732,10/06/2021,Midwest,Iowa,Des Moines,Women's Street Footwear,$34.00 ,39,133,$54 ,Online,39
West Gear,1185732,02/03/2021,Midwest,Iowa,Des Moines,Men's Athletic Footwear,$29.00 ,39,113,$55 ,Online,39
West Gear,1185732,04/03/2021,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,$20.00 ,39,78,$36 ,Online,39
West Gear,1185732,3/20/2021,Northeast,Maryland,Baltimore,Men's Athletic Footwear,$34.00 ,39,133,$62 ,Online,39
